section_a,section_b,token_count_a,token_count_b,observed_jsd_bits,null_jsd_mean_bits,null_jsd_std_bits,null_jsd_median_bits,null_jsd_q025_bits,null_jsd_q975_bits,observed_minus_null_mean_bits,empirical_percentile,empirical_p_value,null_conclusion_label
astronomical,biological,850,6918,0.7132735389659056,0.3282154603135074,0.007833850607359406,0.32796292955250334,0.3129250858124988,0.3442137381861082,0.3850580786523982,1.0,0.000999000999000999,above_null_97_5
astronomical,cosmological,850,2550,0.6225355171064655,0.49123169533563815,0.008746954029998835,0.4916782104875465,0.4745241327191307,0.5079852305741427,0.13130382177082733,1.0,0.000999000999000999,above_null_97_5
astronomical,herbal,850,11418,0.6088666535195559,0.4284880161896675,0.008565545366316969,0.42820493239180735,0.4119173529054408,0.44523300346617517,0.18037863732988846,1.0,0.000999000999000999,above_null_97_5
astronomical,pharmaceutical,850,2579,0.5962263607338256,0.4816244087500911,0.008696737812122657,0.4812902866013087,0.46520717342964474,0.4985242012838521,0.11460195198373452,1.0,0.000999000999000999,above_null_97_5
astronomical,stars,850,10694,0.6690405386257614,0.42222743126146967,0.008536468064428033,0.4220261993657867,0.4055792152155501,0.43899866517618374,0.24681310736429174,1.0,0.000999000999000999,above_null_97_5
astronomical,text,850,1626,0.6507669577149167,0.5621912515145907,0.009037436544530032,0.5618561007123494,0.5444338067235174,0.580924806455225,0.08857570620032595,1.0,0.000999000999000999,above_null_97_5
astronomical,zodiac,850,1332,0.6627228329797061,0.5922238890088697,0.008702997045288336,0.5918246789821437,0.5764777775946213,0.6105555548386195,0.07049894397083645,1.0,0.000999000999000999,above_null_97_5
biological,cosmological,6918,2550,0.5061078146284147,0.2565951695691515,0.0040143833297575215,0.2566841568079903,0.2487385821854703,0.2644983684436205,0.24951264505926318,1.0,0.000999000999000999,above_null_97_5
biological,herbal,6918,11418,0.4985178537863961,0.22963964805991305,0.0023760094999125824,0.2297011968096652,0.2249629535180809,0.2342309560348055,0.2688782057264831,1.0,0.000999000999000999,above_null_97_5
biological,pharmaceutical,6918,2579,0.5958551512680121,0.2607174688703783,0.004019949276583996,0.26060745093029514,0.2524857275828517,0.26862428798535637,0.33513768239763386,1.0,0.000999000999000999,above_null_97_5
biological,stars,6918,10694,0.3347291601069759,0.21769569417044324,0.0023280286211208394,0.21765212033650377,0.2130023111455908,0.22234728512297827,0.11703346593653266,1.0,0.000999000999000999,above_null_97_5
biological,text,6918,1626,0.5113033374073725,0.280861821976312,0.0053161348696873,0.28080639840859944,0.2712176119589014,0.2910918985012383,0.23044151543106056,1.0,0.000999000999000999,above_null_97_5
biological,zodiac,6918,1332,0.6898941491112591,0.30255955964933834,0.006175342828598517,0.3025825419570312,0.2907673904769298,0.314764641827657,0.3873345894619208,1.0,0.000999000999000999,above_null_97_5
cosmological,herbal,2550,11418,0.4421483043194374,0.31919852193777554,0.004412494910161612,0.31889776976736023,0.3106842486940393,0.3286404687926948,0.12294978238166188,1.0,0.000999000999000999,above_null_97_5
cosmological,pharmaceutical,2550,2579,0.5613311195084363,0.38305144544435915,0.004921076680757436,0.38283536656877604,0.3737510346914869,0.39312428385538056,0.17827967406407713,1.0,0.000999000999000999,above_null_97_5
cosmological,stars,2550,10694,0.44201233814307345,0.31362671015487753,0.004435617441960466,0.31344420362250075,0.3055055417698844,0.32258951011710185,0.12838562798819592,1.0,0.000999000999000999,above_null_97_5
cosmological,text,2550,1626,0.46739630245416325,0.4176911369450756,0.006123055119793457,0.4176165299850687,0.40598554104504236,0.42943875031054035,0.049705165509087657,1.0,0.000999000999000999,above_null_97_5
cosmological,zodiac,2550,1332,0.5691746571897496,0.4492616836769361,0.006759486512903662,0.44917777648104756,0.4365055259911142,0.46267627907593173,0.11991297351281349,1.0,0.000999000999000999,above_null_97_5
herbal,pharmaceutical,11418,2579,0.44591760119837986,0.3178428984731204,0.004296912187955678,0.31777755597462726,0.3098057955285791,0.32624833143042586,0.12807470272525945,1.0,0.000999000999000999,above_null_97_5
herbal,stars,11418,10694,0.4462304641923659,0.23893037775790366,0.002164478551106321,0.2388154011586533,0.23457486683608664,0.24317928673317699,0.20730008643446224,1.0,0.000999000999000999,above_null_97_5
herbal,text,11418,1626,0.46185079406885043,0.36075177866679015,0.006035343879387715,0.36043861419450235,0.3494258490749148,0.3730608669840852,0.10109901540206029,1.0,0.000999000999000999,above_null_97_5
herbal,zodiac,11418,1332,0.6201059151002524,0.38654170107765995,0.006582187914587596,0.3864703106401668,0.37367605161020817,0.3990037606233491,0.23356421402259242,1.0,0.000999000999000999,above_null_97_5
pharmaceutical,stars,2579,10694,0.5451207646113809,0.3164186648832146,0.004328573206610306,0.31642690727738787,0.308411017327813,0.32468966047029507,0.22870209972816635,1.0,0.000999000999000999,above_null_97_5
pharmaceutical,text,2579,1626,0.5538883366031113,0.42374292491964183,0.006086146593253973,0.42354636373765503,0.4128706144237465,0.4363680259748105,0.1301454116834695,1.0,0.000999000999000999,above_null_97_5
pharmaceutical,zodiac,2579,1332,0.633676323360163,0.4484137480550653,0.006592298580418605,0.44814141918358585,0.43538018964824743,0.4613057368078101,0.1852625753050977,1.0,0.000999000999000999,above_null_97_5
stars,text,10694,1626,0.47953324768089006,0.3529068005936105,0.005726770477688689,0.3527465459393686,0.3421342870898905,0.3644643145050666,0.12662644708727955,1.0,0.000999000999000999,above_null_97_5
stars,zodiac,10694,1332,0.6102496055949201,0.3793986372961857,0.006605418693092963,0.37919188644586754,0.3672689419009369,0.39295753185655874,0.23085096829873442,1.0,0.000999000999000999,above_null_97_5
text,zodiac,1626,1332,0.6146855682868653,0.5088249393407724,0.006945990225178494,0.5085512339369176,0.4958156849439455,0.5224323608125266,0.10586062894609283,1.0,0.000999000999000999,above_null_97_5
